benchmark,method,num_seeds,support_volume_iou_2010_mean,support_volume_iou_2010_std,support_volume_iou_2010_min,support_volume_iou_2010_max,trace_iou_with_2010_support_mean,trace_iou_with_2010_support_std,trace_iou_with_2010_support_min,trace_iou_with_2010_support_max,crossline_continuity_mean,crossline_continuity_std,crossline_continuity_min,crossline_continuity_max,predicted_fraction_outside_support_volume_mean,predicted_fraction_outside_support_volume_std,predicted_fraction_outside_support_volume_min,predicted_fraction_outside_support_volume_max
p07,best_classical_constrained,3,0.47689441375425573,0.0,0.47689441375425573,0.47689441375425573,0.3849618293453227,0.0,0.3849618293453227,0.3849618293453227,0.9978508468318795,0.0,0.9978508468318795,0.9978508468318795,0.48841390248339217,0.0,0.48841390248339217,0.48841390248339217
p07,plain_ml_constrained,3,0.3041474839612401,0.06067251475427366,0.2321158253674509,0.3805404254639646,0.8863936591700154,0.012369115104179604,0.8730644774887283,0.9028685608860133,0.9559417279205046,0.008748836695906962,0.9460554590643678,0.9673276475673745,0.0027484768133627037,0.0016338045323389522,0.0010964224290527236,0.0049734368517610665
p07,plain_ml_layered_structured_constrained,3,0.4413191491209055,0.006796657476891403,0.4329436717307842,0.44959104784624787,0.7318957194559963,0.012801841094191935,0.7210163568932622,0.7498677710547792,0.7825180958349747,0.005063748847684528,0.7759384838961175,0.7882561376262096,0.013620476851773282,0.009247745528065024,0.003699140886750866,0.025960610636741637
p07,plain_ml_structured_constrained,3,0.4398652625569493,0.052234627523525305,0.3770294014346744,0.504919860410623,0.8901264530064177,0.011510907505263719,0.8791520288094228,0.9060263015410159,0.9689463560382992,0.01111499332680051,0.954914831128583,0.9820982285405114,0.007163376881455259,0.006009173959603874,0.00224003445812182,0.015623863147124384
p07,plain_ml_temporal_structured_constrained,3,0.5873027683793844,0.024935012692225797,0.5524937919682934,0.6095943475244633,0.9247433241619157,0.01041197116790117,0.9104087498696987,0.9348267217821817,0.9586068926609695,0.019693885482632012,0.9432921527118098,0.986410422153476,0.01264603410424904,0.00871541567816318,0.004719147735528543,0.02478328056724303
p10,best_classical_constrained,3,0.36288938294690937,0.0,0.36288938294690937,0.36288938294690937,0.3224803664921466,0.0,0.3224803664921466,0.3224803664921466,0.9867620751341682,0.0,0.9867620751341682,0.9867620751341682,0.6232587175269343,0.0,0.6232587175269343,0.6232587175269343
p10,plain_ml_constrained,3,0.5262161536543464,0.04827853369175886,0.45796271124905363,0.5618679725620536,0.7942607462921298,0.15826295249427424,0.5704775687409551,0.9095523765574527,0.8634586670657001,0.14191613402219982,0.6630485790348809,0.9729981154713181,0.07227967775840993,0.07720172203935383,0.01756582353804903,0.1814593061563583
p10,plain_ml_layered_structured_constrained,3,0.40641134551335784,0.09144010136414182,0.2771748007830464,0.47495069373272125,0.6460097792487488,0.14699341856967107,0.4383487235198262,0.7581023954908408,0.7414442971828569,0.05590680256078043,0.662911672400463,0.7886368944822519,0.2569792818368197,0.25114690912392584,0.06950806948276012,0.6119677604337073
p10,plain_ml_structured_constrained,3,0.6367572864504183,0.036875193196521654,0.5959139737703477,0.6852598556479389,0.7701386901375938,0.18770486626508268,0.5047375160051216,0.9074585635359116,0.9244562450140273,0.06483344279879301,0.8331224504409878,0.9770992754976628,0.09624883109903419,0.10036153527562414,0.024557656155340335,0.23817899907490647
p10,plain_ml_temporal_structured_constrained,3,0.7091204349952114,0.04380562358950444,0.6718901476331607,0.7706171395655323,0.76975685377729,0.1879786434114375,0.503963180772181,0.9070409572020248,0.9261789417533257,0.06445908457140309,0.8353303715880009,0.9781119402159113,0.1031660302321807,0.10414849788152424,0.028449447351191925,0.2504490167980564
